Date,Open,High,Low,Close,Adj Close,Volume,New_Open,Difference,ave_5D,grad_5D,ave_20D,grad_20D
25/5/17,38.432499,38.587502,38.2575,38.467499,36.415878,76942400,38.5,0.067501,38.4944992,-0.029,38.5058748,0.02024995
26/5/17,38.5,38.560001,38.327499,38.4025,36.354336,87710400,38.355,-0.145,38.4479996,-0.0464996,38.5401249,0.0342501
30/5/17,38.355,38.607498,38.3325,38.4175,36.368538,80507600,38.4925,0.1375,38.4144998,-0.0334998,38.428125,-0.1119999
31/5/17,38.4925,38.5425,38.095001,38.189999,36.153168,97804800,38.2925,-0.2,38.407,-0.0074998,38.3175001,-0.1106249
1/6/17,38.2925,38.3325,38.055,38.294998,36.252579,65616400,38.395,0.1025,38.4239998,0.0169998,38.21200005,-0.10550005
2/6/17,38.395,38.862499,38.2225,38.862499,36.789814,111082800,38.584999,0.189999,38.4479994,0.0239996,38.08350005,-0.1285
5/6/17,38.584999,38.612499,38.365002,38.482498,36.430077,101326800,38.474998,-0.110001,38.5004996,0.0525002,37.989875,-0.09362505
6/6/17,38.474998,38.952499,38.445,38.612499,36.553143,106499600,38.755001,0.280003,38.6044996,0.104,37.868375,-0.1215
7/6/17,38.755001,38.994999,38.619999,38.842499,36.770866,84278400,38.8125,0.057499,38.6849998,0.0805002,37.77924995,-0.08912505
8/6/17,38.8125,38.884998,38.599998,38.747501,36.680943,85003200,38.797501,-0.014999,38.2550002,-0.4299996,37.6620001,-0.11724985
9/6/17,38.797501,38.797501,36.505001,37.244999,35.258579,259530800,36.435001,-2.3625,37.9180008,-0.3369994,37.5611252,-0.1008749
12/6/17,36.435001,36.522499,35.627499,36.355,34.416039,289229200,36.790001,0.355,37.5420006,-0.3760002,37.4536253,-0.1074999
13/6/17,36.790001,36.862499,36.287498,36.647499,34.692955,136661600,36.875,0.084999,36.945501,-0.5964996,37.3682503,-0.085375
